aphiaID;acceptedAphiaID;name;acceptedName;Intertidal;Subtidal
374837;374837;Acrocarpia paniculata;Acrocarpia paniculata;;1
499803;374837;Blossevillea paniculata;Acrocarpia paniculata;;
374457;374457;Acrocarpia robusta;Acrocarpia robusta;;
157207;157207;Agarum clathratum;Agarum clathratum;;1
495975;157207;Agarum cribrosum;Agarum clathratum;;1
503858;157207;Laminaria agarum;Agarum clathratum;;1
499677;499677;Agarum turneri;Agarum turneri;;1
495022;495022;Akkesiphycus lubricus;Akkesiphycus lubricus;;
371977;371977;Alaria angusta;Alaria angusta;;1
667682;371977;Alaria laticosta;Alaria angusta;;1
503417;503417;Alaria cordata;Alaria cordata;;1
371978;371978;Alaria crassifolia;Alaria crassifolia;;1
373974;373974;Alaria crispa;Alaria crispa;;1
704008;704008;Alaria dolichorachis;Alaria dolichorachis;;1
374937;374937;Alaria elliptica;Alaria elliptica;;1
145716;145716;Alaria esculenta;Alaria esculenta;;1
500966;145716;Alaria musaefolia;Alaria esculenta;;1
145717;145716;Alaria grandifolia;Alaria esculenta;;1
501022;145716;Alaria dolichorhachis;Alaria esculenta;;1
499049;145716;Fucus esculentus;Alaria esculenta;;1
501725;145716;Fucus teres;Alaria esculenta;;1
501023;145716;Alaria linearis;Alaria esculenta;;1
503440;503440;Alaria flagellaris;Alaria flagellaris;;1
620370;620370;Alaria fragilis;Alaria fragilis;;1
371791;371791;Alaria marginata;Alaria marginata;1;
499225;371791;Alaria tenuifolia;Alaria marginata;1;
526691;371791;Alaria valida;Alaria marginata;1;
371792;371791;Alaria nana;Alaria marginata;1;
371981;371791;Alaria taeniata;Alaria marginata;1;
667672;371791;Alaria lanceolata;Alaria marginata;1;
667348;371791;Alaria curtipes;Alaria marginata;1;
526690;526690;Alaria oblonga;Alaria oblonga;;1
620818;620818;Alaria ochotensis;Alaria ochotensis;;1
371980;371980;Alaria paradisea;Alaria paradisea;;1
373975;373975;Alaria praelonga;Alaria praelonga;;1
499673;373975;Alaria corrugata;Alaria praelonga;;1
145718;494942;Alaria pylaii;Alaria pylaiei;;1
494942;494942;Alaria pylaiei;Alaria pylaiei;;1
499065;494942;Alaria membranacea;Alaria pylaiei;;1
374718;374718;Amphibolis antarctica;Amphibolis antarctica;;
374719;374719;Amphibolis griffithii;Amphibolis griffithii;;
214355;214355;Anthophycus longifolius;Anthophycus longifolius;;
381743;214355;Sargassum longifolium;Anthophycus longifolius;;1
371984;371984;Arthrothamnus bifidus;Arthrothamnus bifidus;;
845234;371984;Laminaria bifida;Arthrothamnus bifidus;;1
374241;374241;Arthrothamnus kurilensis;Arthrothamnus kurilensis;;
145541;145541;Ascophyllum nodosum;Ascophyllum nodosum;1;
239248;145541;Fucus nodosus;Ascophyllum nodosum;1;
499528;145541;Fucodium nodosum;Ascophyllum nodosum;1;
499531;145541;Ozothallia nodosa;Ascophyllum nodosum;1;
499530;145541;Halicoccus nodosus;Ascophyllum nodosum;1;
666980;145541;Ascophyllum robertsonii;Ascophyllum nodosum;1;
238768;553678;Ascophyllum mackayi;Ascophyllum nodosum f. mackayi;1;
496340;553678;Fucus mackayi;Ascophyllum nodosum f. mackayi;1;
553678;553678;Ascophyllum nodosum f. mackayi;Ascophyllum nodosum f. mackayi;1;
553675;553675;Ascophyllum nodosum f. scorpioides;Ascophyllum nodosum f. scorpioides;1;
531501;531501;Aureophycus aleuticus;Aureophycus aleuticus;;
371685;371685;Axillariella constricta;Axillariella constricta;;
666984;371685;Fucodium constrictum;Axillariella constricta;;
708321;371685;Carpoglossum constrictum;Axillariella constricta;;
145503;145503;Bifurcaria bifurcata;Bifurcaria bifurcata;1;
499114;145503;Fucus tuberculatus;Bifurcaria bifurcata;1;
499117;145503;Bifurcaria tuberculata;Bifurcaria bifurcata;1;
499116;145503;Pycnophycus tuberculatus;Bifurcaria bifurcata;1;
371686;371686;Bifurcariopsis capensis;Bifurcariopsis capensis;;
547580;547580;Blossevillea retroflexa;Blossevillea retroflexa;;
214348;624308;Bifurcaria brassicaeformis;Brassicophycus brassicaeformis;1;
624308;624308;Brassicophycus brassicaeformis;Brassicophycus brassicaeformis;1;
497473;624308;Pycnophycus brassicaeformis;Brassicophycus brassicaeformis;1;
374029;374029;Carpoglossum confluens;Carpoglossum confluens;;
373324;373324;Carpophyllum angustifolium;Carpophyllum angustifolium;;
708728;708728;Carpophyllum elongatum;Carpophyllum elongatum;;
373334;373334;Carpophyllum flexuosum;Carpophyllum flexuosum;;
708409;373334;Carpophyllum phyllanthum;Carpophyllum flexuosum;;
373377;373377;Carpophyllum maschalocarpum;Carpophyllum maschalocarpum;;
373349;373349;Carpophyllum plumosum;Carpophyllum plumosum;;
497813;373349;Sargassum plumosum;Carpophyllum plumosum;;1
374030;374030;Caulocystis cephalornithos;Caulocystis cephalornithos;;
374459;374459;Caulocystis uvifera;Caulocystis uvifera;;
500023;374459;Cystophora uvifera;Caulocystis uvifera;;
622805;622805;Chorda asiatica;Chorda asiatica;;1
145722;145722;Chorda filum;Chorda filum;;1
499050;145722;Fucus filum;Chorda filum;;1
503429;503429;Chorda minuta;Chorda minuta;;1
375537;375537;Chorda rigida;Chorda rigida;;1
372015;372015;Coccophora langsdorfii;Coccophora langsdorfii;;
371985;371985;Costaria costata;Costaria costata;;1
499680;371985;Costaria turneri;Costaria costata;;1
502740;371985;Costaria mertensii;Costaria costata;;1
377117;377117;Cymathaere fibrosa;Cymathaere fibrosa;;1
373978;373978;Cymathaere triplicata;Cymathaere triplicata;;1
501942;373978;Laminaria triplicata;Cymathaere triplicata;;1
374728;374728;Cymodocea angustata;Cymodocea angustata;;1
145793;145793;Cymodocea nodosa;Cymodocea nodosa;;1
668599;145793;Zostera nodosa;Cymodocea nodosa;;1
208921;208921;Cymodocea rotundata;Cymodocea rotundata;;1
208919;208919;Cymodocea serrulata;Cymodocea serrulata;;1
239167;239167;Cystophora botryocystis;Cystophora botryocystis;;1
374460;374460;Cystophora brownii;Cystophora brownii;;1
374882;374882;Cystophora cymodocea;Cystophora cymodocea;;1
708729;708729;Cystophora dumosa;Cystophora dumosa;;1
239169;239169;Cystophora expansa;Cystophora expansa;;1
214351;214351;Cystophora fibrosa;Cystophora fibrosa;;1
374461;374461;Cystophora gracilis;Cystophora gracilis;;1
239170;239170;Cystophora grevillei;Cystophora grevillei;;1
495046;239170;Sargassum grevillei;Cystophora grevillei;;1
374501;239170;Sargassum (Sargassum) grevillei;Cystophora grevillei;;1
374462;374462;Cystophora harveyi;Cystophora harveyi;;1
374879;374879;Cystophora intermedia;Cystophora intermedia;;1
239171;239171;Cystophora monilifera;Cystophora monilifera;;1
239172;239172;Cystophora moniliformis;Cystophora moniliformis;;1
239173;239173;Cystophora pectinata;Cystophora pectinata;;1
373477;373477;Cystophora platylobium;Cystophora platylobium;;1
374881;374881;Cystophora polycystidea;Cystophora polycystidea;;1
239174;239174;Cystophora racemosa;Cystophora racemosa;;1
239175;239175;Cystophora retorta;Cystophora retorta;;1
547579;239175;Blossevillea retorta;Cystophora retorta;;1
239176;239176;Cystophora retroflexa;Cystophora retroflexa;;1
500033;239176;Cystoseira retroflexa;Cystophora retroflexa;;1
373480;239176;Cystophora congesta;Cystophora retroflexa;;1
373478;373478;Cystophora scalaris;Cystophora scalaris;;1
239177;239177;Cystophora siliquosa;Cystophora siliquosa;;1
239178;239178;Cystophora subfarcinata;Cystophora subfarcinata;;1
374463;374463;Cystophora tenuis;Cystophora tenuis;;1
373323;373323;Cystophora torulosa;Cystophora torulosa;;1
374880;374880;Cystophora xiphocarpa;Cystophora xiphocarpa;;1
145504;145504;Cystoseira abies-marina;Cystoseira abies-marina;;1
239223;145504;Fucus abies-marinus;Cystoseira abies-marina;;1
145505;145505;Cystoseira algeriensis;Cystoseira algeriensis;;1
145506;145506;Cystoseira amentacea;Cystoseira amentacea;;1
292670;249680;Cystoseira spicata;Cystoseira amentacea var. stricta;;1
239025;249680;Cystoseira stricta;Cystoseira amentacea var. stricta;;1
249680;249680;Cystoseira amentacea var. stricta;Cystoseira amentacea var. stricta;;1
145507;145507;Cystoseira baccata;Cystoseira baccata;;1
239180;145507;Cystoseira fibrosa;Cystoseira baccata;;1
495997;145508;Cystoseira hoppii;Cystoseira barbata;;1
145508;145508;Cystoseira barbata;Cystoseira barbata;;1
502375;553642;Cystoseira aurantia;Cystoseira barbata f. aurantia;;1
553642;553642;Cystoseira barbata f. aurantia;Cystoseira barbata f. aurantia;;1
145509;145509;Cystoseira barbatula;Cystoseira barbatula;;1
498733;145509;Cystoseira graeca;Cystoseira barbatula;;1
145510;145510;Cystoseira brachycarpa;Cystoseira brachycarpa;;1
239021;145510;Cystoseira balearica;Cystoseira brachycarpa;;1
239022;145510;Cystoseira caespitosa;Cystoseira brachycarpa;;1
145511;145511;Cystoseira compressa;Cystoseira compressa;;1
381176;145511;Cystoseira fimbriata;Cystoseira compressa;;1
145528;847100;Cystoseira planiramea;Cystoseira compressa subsp. pustulata;;1
503369;847100;Cystoseira epiphytica;Cystoseira compressa subsp. pustulata;;1
847100;847100;Cystoseira compressa subsp. pustulata;Cystoseira compressa subsp. pustulata;;1
145513;145513;Cystoseira corniculata;Cystoseira corniculata;;1
145514;145514;Cystoseira crinita;Cystoseira crinita;;1
553391;553391;Cystoseira crinita f. bosphorica;Cystoseira crinita f. bosphorica;;1
145515;145515;Cystoseira crinitophylla;Cystoseira crinitophylla;;1
145516;145516;Cystoseira dubia;Cystoseira dubia;;1
498611;145516;Cystoseira fucoides;Cystoseira dubia;;1
145517;145517;Cystoseira elegans;Cystoseira elegans;;1
145518;145518;Cystoseira foeniculacea;Cystoseira foeniculacea;;1
145512;145518;Cystoseira concatenata;Cystoseira foeniculacea;;1
239023;145518;Cystoseira discors;Cystoseira foeniculacea;;1
292667;145518;Cystoseira abrotanifolia;Cystoseira foeniculacea;;1
496636;145518;Fucus foeniculaceus;Cystoseira foeniculacea;;1
239024;145518;Cystoseira ercegovicii;Cystoseira foeniculacea;;1
501025;145518;Fucus abrotanifolius;Cystoseira foeniculacea;;1
374116;374116;Cystoseira funkii;Cystoseira funkii;;1
145520;145520;Cystoseira humilis;Cystoseira humilis;;1
502376;145520;Cystoseira pumila;Cystoseira humilis;;1
500166;145520;Cystoseira canariensis;Cystoseira humilis;;1
496831;295873;Cystoseira myriophylloides;Cystoseira humilis var. myriophylloides;;1
295873;295873;Cystoseira humilis var. myriophylloides;Cystoseira humilis var. myriophylloides;;1
145521;145521;Cystoseira hyblaea;Cystoseira hyblaea;;1
145523;145523;Cystoseira mauritanica;Cystoseira mauritanica;;1
145519;145523;Cystoseira gibraltarica;Cystoseira mauritanica;;1
145524;145524;Cystoseira mediterranea;Cystoseira mediterranea;;1
145525;145525;Cystoseira montagnei;Cystoseira montagnei;;1
145533;145525;Cystoseira spinosa;Cystoseira montagnei;;1
495996;145525;Cystoseira erica-marina;Cystoseira montagnei;;1
292668;145525;Cystoseira adriatica;Cystoseira montagnei;;1
1063027;1063027;Cystoseira montagnei var. compressa;Cystoseira montagnei var. compressa;;1
496037;1063030;Cystoseira rechingerii;Cystoseira montagnei var. tenuior;;1
649378;1063030;Cystoseira rechingeri;Cystoseira montagnei var. tenuior;;1
498051;1063030;Cystoseira gerloffi;Cystoseira montagnei var. tenuior;;1
145522;1063030;Cystoseira jabukae;Cystoseira montagnei var. tenuior;;1
1063030;1063030;Cystoseira montagnei var. tenuior;Cystoseira montagnei var. tenuior;;1
145526;145526;Cystoseira nodicaulis;Cystoseira nodicaulis;;1
499052;145526;Fucus nodicaulis;Cystoseira nodicaulis;;1
145527;145527;Cystoseira pelagosae;Cystoseira pelagosae;;1
145529;145529;Cystoseira platyclada;Cystoseira platyclada;;1
503370;503370;Cystoseira pycnoclada;Cystoseira pycnoclada;;1
558870;558870;Cystoseira rayssiae;Cystoseira rayssiae;;1
503371;145530;Cystoseira sicula;Cystoseira sauvageauana;;1
145530;145530;Cystoseira sauvageauana;Cystoseira sauvageauana;;1
145531;145531;Cystoseira schiffneri;Cystoseira schiffneri;;1
145532;145532;Cystoseira sedoides;Cystoseira sedoides;;1
548040;548040;Cystoseira selaginoides;Cystoseira selaginoides;;1
503511;503511;Cystoseira senegalensis;Cystoseira senegalensis;;1
377046;377046;Cystoseira sonderi;Cystoseira sonderi;;1
145534;145534;Cystoseira squarrosa;Cystoseira squarrosa;;1
145535;145535;Cystoseira susanensis;Cystoseira susanensis;;1
145536;145536;Cystoseira tamariscifolia;Cystoseira tamariscifolia;;1
239179;145536;Cystoseira ericoides;Cystoseira tamariscifolia;;1
239234;145536;Fucus ericoides;Cystoseira tamariscifolia;;1
499053;145536;Fucus tamariscifolius;Cystoseira tamariscifolia;;1
501026;145536;Fucus selaginoides;Cystoseira tamariscifolia;;1
145537;145537;Cystoseira usneoides;Cystoseira usneoides;;1
503349;145537;Cystoseira granulata;Cystoseira usneoides;;1
145538;495048;Cystoseira wildprettii;Cystoseira wildpretii;;1
239181;145539;Cystoseira opuntioides;Cystoseira zosteroides;;1
145539;145539;Cystoseira zosteroides;Cystoseira zosteroides;;1
325490;325490;Cystosphaera jacquinotii;Cystosphaera jacquinotii;;1
372515;372515;Dictyoneurum californicum;Dictyoneurum californicum;;
503878;503878;Dictyoneurum reticulatum;Dictyoneurum reticulatum;;
526731;503878;Dictyoneuropsis reticulata;Dictyoneurum reticulatum;;
526753;503878;Costaria reticulata;Dictyoneurum reticulatum;;
373370;373370;Durvillaea antarctica;Durvillaea antarctica;1;
499792;373370;Durvillaea utilis;Durvillaea antarctica;1;
499794;373370;Durvillaea montagnei;Durvillaea antarctica;1;
374294;373370;Durvillaea caepaestipes;Durvillaea antarctica;1;
373471;373471;Durvillaea chathamensis;Durvillaea chathamensis;1;
626384;626384;Durvillaea poha;Durvillaea poha;1;
374028;374028;Durvillaea potatorum;Durvillaea potatorum;1;
499798;374028;Sarcophycus potatorum;Durvillaea potatorum;1;
373397;373397;Durvillaea willana;Durvillaea willana;1;
145719;145719;Ecklonia biruncinata;Ecklonia biruncinata;;1
239205;145719;Ecklonia exasperata;Ecklonia biruncinata;;1
373321;373321;Ecklonia brevipes;Ecklonia brevipes;;1
371986;371986;Ecklonia cava;Ecklonia cava;;1
214345;214345;Ecklonia fastigiata;Ecklonia fastigiata;;1
371987;371987;Ecklonia kurome;Ecklonia kurome;;1
214343;214343;Ecklonia maxima;Ecklonia maxima;;1
499790;214343;Ecklonia buccinalis;Ecklonia maxima;;1
145720;145720;Ecklonia muratii;Ecklonia muratii;;1
214344;214344;Ecklonia radiata;Ecklonia radiata;;1
371989;499683;Eckloniopsis radicosa;Ecklonia radicosa;;1
499683;499683;Ecklonia radicosa;Ecklonia radicosa;;1
503395;503395;Ecklonia richardiana;Ecklonia richardiana;;1
371988;371988;Ecklonia stolonifera;Ecklonia stolonifera;;1
372502;372502;Egregia menziesii;Egregia menziesii;;1
501540;372502;Egregia laevigata;Egregia menziesii;;1
547657;372502;Phyllospora menziesii;Egregia menziesii;;1
371990;371990;Eisenia arborea;Eisenia arborea;;1
371991;371991;Eisenia bicyclis;Eisenia bicyclis;;1
499685;371991;Ecklonia bicyclis;Eisenia bicyclis;;1
499686;371991;Ecklonia wrightii;Eisenia bicyclis;;1
376640;376640;Eisenia cokeri;Eisenia cokeri;;1
375496;375496;Eisenia desmarestioides;Eisenia desmarestioides;;1
375494;375494;Eisenia galapagensis;Eisenia galapagensis;;1
375495;375495;Eisenia masonii;Eisenia masonii;;1
547463;547463;Eualaria fistulosa;Eualaria fistulosa;;1
371979;547463;Alaria fistulosa;Eualaria fistulosa;;1
145542;145542;Fucus ceranoides;Fucus ceranoides;1;
499465;145542;Fucus divergens;Fucus ceranoides;1;
552977;552977;Fucus chalonii;Fucus chalonii;1;
239245;371030;Fucus muscoides;Fucus cottonii;1;
371030;371030;Fucus cottonii;Fucus cottonii;1;
145544;145544;Fucus distichus;Fucus distichus;1;
372503;145544;Fucus gardneri;Fucus distichus;1;
501793;145544;Fucus nitens;Fucus distichus;1;
499471;145544;Fucus miclonensis;Fucus distichus;1;
499467;145544;Fucus fueci;Fucus distichus;1;
497304;249685;Fucus anceps;Fucus distichus subsp. anceps;1;
249685;249685;Fucus distichus subsp. anceps;Fucus distichus subsp. anceps;1;
157200;249684;Fucus edentatus;Fucus distichus subsp. edentatus;1;
249684;249684;Fucus distichus subsp. edentatus;Fucus distichus subsp. edentatus;1;
145545;292672;Fucus evanescens;Fucus distichus subsp. evanescens;1;
292672;292672;Fucus distichus subsp. evanescens;Fucus distichus subsp. evanescens;1;
239236;239236;Fucus filiformis;Fucus filiformis;1;
235808;235808;Fucus radicans;Fucus radicans;1;
145546;145546;Fucus serratus;Fucus serratus;1;
145547;145547;Fucus spiralis;Fucus spiralis;1;
499466;145547;Fucus areschougii;Fucus spiralis;1;
497037;1313314;Fucus lutarius;Fucus spiralis var. lutarius;1;
1313314;1313314;Fucus spiralis var. lutarius;Fucus spiralis var. lutarius;1;
145548;145548;Fucus vesiculosus;Fucus vesiculosus;1;
248056;145548;Fucus inflatus;Fucus vesiculosus;1;
499468;145548;Fucus balticus;Fucus vesiculosus;1;
499427;145548;Fucus divaricatus;Fucus vesiculosus;1;
547714;1309840;Fucus mytili;Fucus vesiculosus f. mytili;1;
1309840;1309840;Fucus vesiculosus f. mytili;Fucus vesiculosus f. mytili;1;
497036;1309803;Fucus axillaris;Fucus vesiculosus f. volubilis;1;
1309803;1309803;Fucus vesiculosus f. volubilis;Fucus vesiculosus f. volubilis;1;
162548;162548;Fucus vesiculosus var. linearis;Fucus vesiculosus var. linearis;1;
145549;145549;Fucus virsoides;Fucus virsoides;1;
145540;145540;Halidrys siliquosa;Halidrys siliquosa;1;
502372;145540;Cystoseira siliquosa;Halidrys siliquosa;1;
499055;145540;Fucus siliquosus;Halidrys siliquosa;1;
208923;208923;Halodule beaudettei;Halodule beaudettei;;1
626404;626404;Halodule pinifolia;Halodule pinifolia;;1
208924;208924;Halodule uninervis;Halodule uninervis;;1
208925;208925;Halodule wrightii;Halodule wrightii;;1
374889;374889;Halophila australis;Halophila australis;;1
374721;374721;Halophila baillonis;Halophila baillonis;;1
208929;208929;Halophila beccarii;Halophila beccarii;;1
823803;823803;Halophila capricorni;Halophila capricorni;;1
145713;145713;Halophila decipiens;Halophila decipiens;;1
374722;374722;Halophila engelmannii;Halophila engelmannii;;1
656166;656166;Halophila gaudichaudii;Halophila gaudichaudii;;1
374723;374723;Halophila hawaiiana;Halophila hawaiiana;;1
374724;374724;Halophila johnsonii;Halophila johnsonii;;1
593695;593695;Halophila major;Halophila major;;1
208926;208926;Halophila minor;Halophila minor;;1
593696;593696;Halophila nipponica;Halophila nipponica;;1
208930;208930;Halophila ovalis;Halophila ovalis;;1
208927;208927;Halophila ovata;Halophila ovata;;1
374725;374725;Halophila spinulosa;Halophila spinulosa;;1
145714;145714;Halophila stipulacea;Halophila stipulacea;;1
1361076;1361076;Halophila sulawesii;Halophila sulawesii;;1
374726;374726;Halophila tricostata;Halophila tricostata;;1
145723;145723;Halosiphon tomentosus;Halosiphon tomentosus;;1
146819;145723;Chorda tomentosa;Halosiphon tomentosus;;1
496436;145723;Halosiphon altae;Halosiphon tomentosus;;1
145918;145918;Haplospora globosa;Haplospora globosa;;1
500885;145918;Scaphospora speciosa;Haplospora globosa;;1
548340;667215;Laminaria bongardiana;Hedophyllum bongardianum;;1
377242;667215;Saccharina bongardiana;Hedophyllum bongardianum;;1
498474;1356698;Laminaria dentigera;Hedophyllum dentigerum;;1
377081;1356698;Saccharina dentigera;Hedophyllum dentigerum;;1
496237;496237;Hedophyllum sessile;Hedophyllum sessile;;1
376879;496237;Saccharina sessilis;Hedophyllum sessile;;1
497642;496237;Laminaria sessilis;Hedophyllum sessile;;1
498473;498473;Hedophyllum subsessile;Hedophyllum subsessile;;1
145551;145551;Himanthalia elongata;Himanthalia elongata;1;
497306;145551;Himanthalia lorea;Himanthalia elongata;1;
499113;145551;Fucus loreus;Himanthalia elongata;1;
372019;372019;Hormophysa cuneiformis;Hormophysa cuneiformis;;
499505;372019;Cystoseira triquetra;Hormophysa cuneiformis;;
500134;372019;Hormosira triquetra;Hormophysa cuneiformis;;
499507;372019;Cystoseira articulata;Hormophysa cuneiformis;;
500041;372019;Hormosira articulata;Hormophysa cuneiformis;;
496196;372019;Cystoseira prolifera;Hormophysa cuneiformis;;
238877;372019;Fucus articulatus;Hormophysa cuneiformis;;
500142;372019;Cystoseira latifrons;Hormophysa cuneiformis;;
220799;372019;Hormophysa articulata;Hormophysa cuneiformis;;
220800;372019;Hormophysa triquetra;Hormophysa cuneiformis;;
373322;373322;Hormosira banksii;Hormosira banksii;1;
708423;373322;Hormosira billardierii;Hormosira banksii;1;
666605;373322;Hormosira sieberi;Hormosira banksii;1;
496101;496101;Kjellmaniella crassifolia;Kjellmaniella crassifolia;;
377127;496101;Saccharina sculpera;Kjellmaniella crassifolia;;
373196;373196;Laminaria abyssalis;Laminaria abyssalis;;1
622649;622649;Laminaria appressirhiza;Laminaria appressirhiza;;1
373197;373197;Laminaria brasiliensis;Laminaria brasiliensis;;1
374924;374924;Laminaria bullata;Laminaria bullata;;1
659913;659913;Laminaria cuneifolia;Laminaria cuneifolia;;1
145724;145724;Laminaria digitata;Laminaria digitata;;1
500195;145724;Laminaria flexicaulis;Laminaria digitata;;1
496322;145724;Laminaria intermedia;Laminaria digitata;;1
496323;145724;Laminaria stenophylla;Laminaria digitata;;1
500970;145724;Laminaria cucullata;Laminaria digitata;;1
500971;145724;Laminaria latifolia;Laminaria digitata;;1
239232;145724;Fucus digitatus;Laminaria digitata;;1
503430;503430;Laminaria discolor;Laminaria discolor;;1
372506;372506;Laminaria ephemera;Laminaria ephemera;;1
372698;372698;Laminaria farlowii;Laminaria farlowii;;1
503431;503431;Laminaria fissilis;Laminaria fissilis;;1
503432;503432;Laminaria gunneri;Laminaria gunneri;;1
145725;145725;Laminaria hyperborea;Laminaria hyperborea;;1
496430;145725;Laminaria cloustonii;Laminaria hyperborea;;1
622672;622672;Laminaria inclinatorhiza;Laminaria inclinatorhiza;;1
494968;494968;Laminaria longipes;Laminaria longipes;;1
145728;145728;Laminaria ochroleuca;Laminaria ochroleuca;;1
499102;145728;Laminaria iberica;Laminaria ochroleuca;;1
214346;214346;Laminaria pallida;Laminaria pallida;;1
498352;214346;Laminaria schinzii;Laminaria pallida;;1
376077;376077;Laminaria platymeris;Laminaria platymeris;;1
145729;145729;Laminaria rodriguezii;Laminaria rodriguezii;;1
376566;376566;Laminaria ruprechtii;Laminaria ruprechtii;;1
240748;240748;Laminaria setchellii;Laminaria setchellii;;1
372507;372507;Laminaria sinclairii;Laminaria sinclairii;;1
502113;372507;Laminaria andersonii;Laminaria sinclairii;;1
145731;145731;Laminaria solidungula;Laminaria solidungula;;1
371993;371993;Laminaria yezoensis;Laminaria yezoensis;;1
669167;371993;Laminaria personata;Laminaria yezoensis;;1
707988;707988;Landsburgia ilicifolia;Landsburgia ilicifolia;;
373481;373481;Landsburgia myricifolia;Landsburgia myricifolia;;
373376;373376;Landsburgia quercifolia;Landsburgia quercifolia;;
373469;373469;Lessonia adamsiae;Lessonia adamsiae;;1
666977;666977;Lessonia berteroana;Lessonia berteroana;;1
373468;373468;Lessonia brevifolia;Lessonia brevifolia;;1
374836;374836;Lessonia corrugata;Lessonia corrugata;;1
499773;499773;Lessonia flavicans;Lessonia flavicans;;1
374292;499773;Lessonia frutescens;Lessonia flavicans;;1
375079;499773;Lessonia vadosa;Lessonia flavicans;;1
374293;499773;Lessonia fuscescens;Lessonia flavicans;;1
373654;373654;Lessonia nigrescens;Lessonia nigrescens;;1
623595;623595;Lessonia searlesiana;Lessonia searlesiana;;1
